Pathways	Object ID	Sub-Pathways
pyochelin biosynthesis	PWY-6408	
glycine cleavage	GLYCLEAV-PWY	
reductive TCA cycle II	PWY-5392	
diacylglycerol biosynthesis (PUFA enrichment in oilseed)	PWY-6804	
cannabinoid biosynthesis	PWY-5140	
lipoate biosynthesis and incorporation I	PWY0-501	
coral bioluminescence	PWY-7914	
poly(ribitol phosphate) wall teichoic acid biosynthesis II (<i>S. aureus</i>)	PWY-7816	
ammonia assimilation cycle II	PWY-6964	
aerobactin biosynthesis	AEROBACTINSYN-PWY	
incomplete reductive TCA cycle	P42-PWY	
sophorolipid biosynthesis	SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	
L-lysine biosynthesis V	PWY-3081	
fungal bioluminescence	PWY-7937	
ammonia assimilation cycle III	AMMASSIM-PWY	"L-glutamate biosynthesis I"" // ""L-glutamine biosynthesis I"
ferrichrome A biosynthesis	PWY-7571	
cuticular wax biosynthesis	PWY-282	
lipoate salvage II	PWY-6984	
adlupulone and adhumulone biosynthesis	PWY-7857	
firefly bioluminescence	PWY-7913	
poly(3-O-&beta;-D-glucopyranosyl-<i>N</i>-acetylgalactosamine 1-phosphate) wall teichoic acid biosynthesis	PWY-7819	
ammonia assimilation cycle I	PWY-6963	"L-glutamine biosynthesis I"" // ""L-glutamate biosynthesis IV"
2'-deoxymugineic acid phytosiderophore biosynthesis	PWY-5912	
&beta;-D-mannosyl phosphomycoketide biosynthesis	PWY-7740	
resveratrol degradation	PWY-6667	
L-lysine biosynthesis I	DAPLYSINESYN-PWY	
squid bioluminescence	PWY-7916	
ammonia oxidation I (aerobic)	AMMOXID-PWY	
pseudomonine biosynthesis	PWY-7983	
glycerol and glycerophosphodiester degradation	PWY0-381	"glycerophosphodiester degradation"" // ""glycerol degradation I"
acyl-[acyl-carrier protein] thioesterase pathway	PWY-5142	
lipoate biosynthesis and incorporation II	PWY0-1275	
baicalein degradation (hydrogen peroxide detoxification)	PWY-7214	
dinoflagellate bioluminescence	PWY-7912	
poly(ribitol phosphate) wall teichoic acid biosynthesis I (<i>B. subtilis</i>)	PWY-7815	
ammonia oxidation IV (autotrophic ammonia oxidizers)	PWY-7082	
dimycocerosyl triglycosyl phenolphthiocerol biosynthesis	PWY-7743	
ferulate degradation	PWY-6343	
jellyfish bioluminescence	PWY-7915	
ammonia oxidation III	PWY-2242	
epoxysqualene biosynthesis	PWY-5670	
glycerophosphodiester degradation	PWY-6952	
L-serine degradation	SERDEG-PWY	
furcatin degradation	PWY-7113	
type IV lipoteichoic acid biosynthesis (<i>S. pneumoniae</i>)	PWY-7818	
mycobacterial sulfolipid biosynthesis	PWY-7746	
L-serine biosynthesis I	SERSYN-PWY	
nitrogen fixation II (flavodoxin)	PWY-7576	
<i>trans</i>-caffeate degradation (aerobic)	PWY-8003	
benzoyl-CoA degradation III (anaerobic)	P321-PWY	
anandamide biosynthesis II	PWY-8053	
starch degradation III	PWY-6731	
superpathway of glycerol degradation to 1,3-propanediol	GOLPDLCAT-PWY	"glycerol degradation II"" // ""glycerol degradation III"
dolichol and dolichyl phosphate biosynthesis	PWY-6129	
L-serine biosynthesis II	PWY-8011	
L-valine degradation II	PWY-5057	
4-coumarate degradation (anaerobic)	PWY-7046	
2-acetamido-4-amino-2,4,6-trideoxy-&alpha;-D-galactosyl-diphospho-<i>ditrans,octacis</i>-undecaprenol biosynthesis	PWY-7467	
benzoyl-CoA degradation II (anaerobic)	CENTBENZCOA-PWY	
anandamide biosynthesis I	PWY-8051	
starch degradation II	PWY-6724	
glycine lipid biosynthesis	PWY-8082	
nitrogen fixation I (ferredoxin)	N2FIX-PWY	
4-coumarate degradation (aerobic)	PWY-8002	
benzoyl-CoA degradation I (aerobic)	PWY-1361	
starch degradation V	PWY-6737	
glycerol degradation II	PWY-6131	
L-malate degradation II	PWY-7686	
L-valine degradation I	VALDEG-PWY	
type I lipoteichoic acid biosynthesis (<i>S. aureus</i>)	PWY-7817	
4-nitrobenzoate degradation	PWY-2381	
starch degradation IV	PWY-6735	
docosahexaenoate biosynthesis I (lower eukaryotes)	PWY-7053	
<i>Escherichia coli</i> serotype O86 <i>O</i>-antigen biosynthesis	PWY-7290	
cyclohexane-1-carboxylate degradation (anaerobic)	PWY-301	
docosahexaenoate biosynthesis IV (4-desaturase, mammals)	PWY-7727	
2-nitrobenzoate degradation II	PWY-5648	
glycerol degradation V	GLYCEROLMETAB-PWY	
docosahexaenoate biosynthesis III (6-desaturase, mammals)	PWY-7606	
picolinate degradation	PWY-8085	
docosahexaenoate biosynthesis II (bacteria)	PWY-7585	
poly(glycerol phosphate) wall teichoic acid biosynthesis	TEICHOICACID-PWY	
naphthalene degradation (anaerobic)	PWY-7620	
2-nitrobenzoate degradation I	PWY-5647	2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate
superpathway of pyrimidine deoxyribonucleosides degradation	PWY0-1298	"2-deoxy-&alpha;-D-ribose 1-phosphate degradation"" // ""pyrimidine deoxyribonucleosides degradation"
<i>Escherichia coli</i> serotype O9a <i>O</i>-antigen biosynthesis	PWY-7905	
glutaryl-CoA degradation	PWY-5177	
9-lipoxygenase and 9-allene oxide synthase pathway	PWY-5407	
9-lipoxygenase and 9-hydroperoxide lyase pathway	PWY-5408	
L-glutamine biosynthesis III	PWY-6549	
tetrahydroxyxanthone biosynthesis (from 3-hydroxybenzoate)	PWY-5002	
glutarate degradation	PWY1G01-4	
traumatin and (<i>Z</i>)-3-hexen-1-yl acetate biosynthesis	PWY-5410	
naphthalene degradation (aerobic)	PWY-5427	
superpathway of lipoxygenase	PWY-5433	"traumatin and (<i>Z</i>)-3-hexen-1-yl acetate biosynthesis"" // ""divinyl ether biosynthesis II"" // ""9-lipoxygenase and 9-hydroperoxide lyase pathway"" // ""9-lipoxygenase and 9-allene oxide synthase pathway"" // ""divinyl ether biosynthesis I"
&beta;-D-galactosaminyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosamine biosynthesis	PWY-7530	
itaconate degradation	PWY-5749	
jasmonic acid biosynthesis	PWY-735	
L-glutamate and L-glutamine biosynthesis	PWY-5505	"L-glutamine biosynthesis I"" // ""L-glutamate biosynthesis V"" // ""L-glutamate biosynthesis IV"" // ""L-glutamate biosynthesis I"" // ""L-glutamate biosynthesis III"" // ""L-glutamate biosynthesis II"
mandelate degradation to acetyl-CoA	PWY-6957	"catechol degradation I (<I>meta</I>-cleavage pathway)"" // ""catechol degradation III (ortho-cleavage pathway)"" // ""mandelate degradation I"" // ""benzoate degradation I (aerobic)"
divinyl ether biosynthesis II	PWY-5409	
tetrahydroxyxanthone biosynthesis (from benzoate)	PWY-5001	
phytate degradation II	PWY-4781	
acrylate degradation	PWY-6373	
divinyl ether biosynthesis I	PWY-5406	
phytate degradation I	PWY-4702	
fatty acid elongation -- saturated	FASYN-ELONG-PWY	
superpathway of acetate utilization and formation	ACETATEUTIL-PWY	"acetate and ATP formation from acetyl-CoA I"" // ""acetate conversion to acetyl-CoA"
bergamotene biosynthesis II	PWY-6244	
superpathway of fatty acid biosynthesis initiation (E. coli)	FASYN-INITIAL-PWY	fatty acid biosynthesis initiation (bacteria and plants)
L-glutamine degradation II	GLUTAMINEFUM-PWY	
mandelate degradation I	PWY-1501	
D-erythronate degradation I	PWY-7872	
bergamotene biosynthesis I	PWY-6243	
very long chain fatty acid biosynthesis I	PWY-5080	
3-oxoadipate degradation	PWY-2361	
superpathway of fatty acid biosynthesis II (plant)	PWY-5156	"palmitate biosynthesis II (bacteria and plant cytoplasm)"" // ""stearate biosynthesis II (bacteria and plants)"" // ""oleate biosynthesis I (plants)"" // ""fatty acid biosynthesis initiation (bacteria and plants)"
L-glutamine degradation I	GLUTAMINDEG-PWY	
4-oxopentanoate degradation	PWY-7948	
dimorphecolate biosynthesis	PWY-5368	
superpathway of mycolate biosynthesis	PWY-6113	"mycolate biosynthesis"" // ""palmitate biosynthesis II (bacteria and plant cytoplasm)"" // ""stearate biosynthesis II (bacteria and plants)"" // ""fatty acid biosynthesis initiation (bacteria and plants)"
2-hydroxypenta-2,4-dienoate degradation	PWY-5162	
&alpha;-eleostearate biosynthesis	PWY-5375	
superpathway of fatty acids biosynthesis (<i>E. coli</i>)	PWY-6285	"<i>cis</i>-vaccenate biosynthesis"" // ""palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)"" // ""(5Z)-dodecenoate biosynthesis I"" // ""palmitate biosynthesis II (bacteria and plant cytoplasm)"" // ""fatty acid biosynthesis initiation (bacteria and plants)"
retinoate biosynthesis I	PWY-6872	
D-malate degradation	PWY0-1465	
punicate biosynthesis	PWY-5374	
3-hydroxy-<i>L</i>-homotyrosine biosynthesis	PWY-7649	
very long chain fatty acid biosynthesis II	PWY-7036	
2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	PWY-5654	
calendate biosynthesis	PWY-5373	
L-homocysteine biosynthesis	PWY-5344	
phosphatidylcholine biosynthesis V	PWY-6825	
fatty acid salvage	PWY-7094	
retinol biosynthesis	PWY-6857	
citrate degradation	PWY-6038	
seleno-amino acid biosynthesis (plants)	PWY-6936	
phosphatidylcholine biosynthesis VII	PWY-7470	
octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	PWY-7388	
propanoyl-CoA degradation II	PWY-7574	
D-threonate degradation	PWY-7871	
4-methyl-proline biosynthesis	PWY-7648	
phosphatidylcholine biosynthesis III	PWY4FS-3	
ultra-long-chain fatty acid biosynthesis	PWY-8041	
retinoate biosynthesis II	PWY-6875	
superpathway of <i>N</i>-acetylneuraminate degradation	P441-PWY	"acetate and ATP formation from acetyl-CoA I"" // ""glycolysis II (from fructose 6-phosphate)"" // ""<i>N</i>-acetylglucosamine degradation I"" // ""<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I"" // ""pyruvate fermentation to ethanol I"" // ""pyruvate fermentation to acetate IV"
alanine racemization	PWY-8072	
superpathway of fatty acid biosynthesis I (E. coli)	PWY0-881	"fatty acid elongation -- saturated"" // ""superpathway of fatty acid biosynthesis initiation (E. coli)"" // ""(5Z)-dodecenoate biosynthesis I"
phospholipid remodeling (phosphatidylcholine, yeast)	PWY-7416	
propanoyl CoA degradation I	PROPIONMET-PWY	
L-threonate degradation	PWY-7874	
L-homomethionine biosynthesis	PWY-1186	
phosphatidylcholine biosynthesis II	PWY4FS-2	
myristate biosynthesis (mitochondria)	PWY66-430	
mevalonate degradation	PWY-5074	
superpathway of seleno-compound metabolism	PWY-6395	"seleno-amino acid detoxification and volatilization II"" // ""seleno-amino acid detoxification and volatilization III"" // ""selenate reduction"" // ""seleno-amino acid biosynthesis (plants)"" // ""seleno-amino acid detoxification and volatilization I"
phosphatidylcholine biosynthesis VI	PWY-6826	
mycolate biosynthesis	PWYG-321	
2-methylcitrate cycle I	PWY0-42	
acetate conversion to acetyl-CoA	PWY0-1313	
L-homophenylalanine biosynthesis	PWY-7275	
phosphatidylcholine biosynthesis I	PWY3O-450	
2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA	PWY-5652	
4-hydroxy-4-methyl-L-glutamate biosynthesis	PWY-7701	
phosphatidylcholine biosynthesis IV	PWY4FS-4	
2-methylcitrate cycle II	PWY-5747	
pyruvate decarboxylation to acetyl CoA	PYRUVDEHYD-PWY	
L-homoserine biosynthesis	HOMOSERSYN-PWY	
L-glutamate biosynthesis II	GLUTAMATE-SYN2-PWY	
nitrilotriacetate degradation	PWY-6021	
tuberonate glucoside biosynthesis	PWY-6297	
D-serine metabolism	PWY-6196	D-serine degradation
D-glucosaminate degradation	PWY-7310	
anhydromuropeptides recycling II	PWY-7883	
&beta;-alanine biosynthesis III	PWY-5155	
L-glutamate biosynthesis V	PWY-4341	
D-gluconate degradation	GLUCONSUPER-PWY	
jasmonoyl-L-isoleucine inactivation	PWY-7859	
uracil degradation I (reductive)	PWY-3982	
anhydromuropeptides recycling I	PWY0-1261	
D-erythronate degradation II	PWY-7873	
&beta;-alanine biosynthesis I	PWY-3981	
L-glutamate biosynthesis IV	GLUGLNSYN-PWY	
ppGpp metabolism	PPGPPMET-PWY	
&beta;-alanine biosynthesis IV	PWY-5760	
Rapoport-Luebering glycolytic shunt	PWY-6405	
fructose 2,6-bisphosphate biosynthesis	PWY66-423	
&beta;-alanine biosynthesis II	PWY-3941	
L-glutamate biosynthesis III	GLUTSYNIII-PWY	
carnosine biosynthesis	PWY66-420	
L-carnitine biosynthesis	PWY-6100	
L-arabinose degradation III	PWY-5517	
ricinoleate biosynthesis	PWY-7618	
lovastatin biosynthesis	PWY-7535	
purine nucleobases degradation I (anaerobic)	P164-PWY	
homocarnosine biosynthesis	PWY66-421	
1-chloro-2-nitrobenzene degradation	PWY-7681	
sapienate biosynthesis	PWY-5362	
L-glutamate biosynthesis I	GLUTSYN-PWY	
purine nucleobases degradation II (anaerobic)	PWY-5497	
2,6-dinitrotoluene degradation	PWY-5643	
L-arabinose degradation II	PWY-5515	
superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)	PWY-6284	"<i>cis</i>-vaccenate biosynthesis"" // ""palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)"" // ""(5Z)-dodecenoate biosynthesis I"
2,4-dinitrotoluene degradation	PWY-5642	
anaerobic energy metabolism (invertebrates, cytosol)	PWY-7383	
echinocandin B biosynthesis	PWY-7650	
L-glutamate degradation I	GLUTAMATE-DEG1-PWY	
10,13-epoxy-11-methyl-octadecadienoate biosynthesis	PWY-7691	
superpathway of anaerobic energy metabolism (invertebrates)	PWY-7389	"anaerobic energy metabolism (invertebrates, mitochondrial)"" // ""anaerobic energy metabolism (invertebrates, cytosol)"
dimethylsulfoniopropanoate degradation I (cleavage)	PWY-6046	
L-arabinose degradation I	ARABCAT-PWY	
dimethylsulfoniopropanoate degradation II (cleavage)	PWY-6056	
phosphatidylinositol biosynthesis I (bacteria)	PWY-6580	
(5<i>Z</i>)-icosenoate biosynthesis	PWY-5361	
crotonate fermentation (to acetate and cyclohexane carboxylate)	PWY-7401	acetate and ATP formation from acetyl-CoA II
nicotinate degradation I	PWY-722	
dimethylsulfoniopropanoate degradation III (demethylation)	PWY-6052	
iso-bile acids biosynthesis I	PWY-7755	
L-glutamate degradation IV	PWY-4321	
nystatin biosynthesis	PWY-7624	
superpathway of dimethylsulfoniopropanoate degradation	PWY-6049	"dimethylsulfoniopropanoate degradation III (demethylation)"" // ""methylthiopropanoate degradation I (cleavage)"
phosphatidylinositol biosynthesis II (eukaryotes)	PWY-7625	
<i>cis</i>-vaccenate biosynthesis	PWY-5973	
benzoate fermentation (to acetate and cyclohexane carboxylate)	PWY-7402	"benzoate degradation II (aerobic and anaerobic)"" // ""benzoyl-CoA degradation II (anaerobic)"" // ""acetate and ATP formation from acetyl-CoA II"" // ""glutaryl-CoA degradation"
L-arabinose degradation IV	PWY-7295	
pyruvate fermentation to propanoate II (acrylate pathway)	PWY-5494	
gondoate biosynthesis (anaerobic)	PWY-7663	
nicotinate degradation III	PWY-5055	
sucrose biosynthesis III	PWY-7347	
iso-bile acids biosynthesis II	PWY-7756	
L-glutamate degradation X	PWY-5766	
superpathway of erythromycin biosynthesis (without sugar biosynthesis)	PWY-6975	"erythromycin A biosynthesis"" // ""erythromycin D biosynthesis"
pyruvate fermentation to propanoate I	P108-PWY	
petroselinate biosynthesis	PWY-5367	
cyclic 2,3-bisphosphoglycerate biosynthesis	PWY-8098	
phaseollin biosynthesis	PWY-3042	
sucrose biosynthesis II	PWY-7238	
stachyose degradation	PWY-6527	
(5Z)-dodecenoate biosynthesis I	PWY0-862	
<i>N</i>-acetylglutaminylglutamine amide biosynthesis	PWY-7054	
ginkgotoxin biosynthesis	PWY-8077	
nicotinate degradation II	PWY-5033	
di-myo-inositol phosphate biosynthesis	PWY-6664	
extended VTC2 cycle	PWY4FS-13	
methylerythritol phosphate pathway II	PWY-7560	
L-glutamate degradation II	GLUTDEG-PWY	
erythromycin A biosynthesis	PWY-7108	
(5Z)-dodecenoate biosynthesis II	PWY-7858	
dimethylsulfoniopropanoate biosynthesis III (algae)	PWY-6053	
superpathway of nicotine biosynthesis	PWY-7342	"nicotine biosynthesis"" // ""N-methyl-&Delta;<sup>1</sup>-pyrrolinium cation biosynthesis"
mixed acid fermentation	FERMENTATION-PWY	
coenzyme M biosynthesis II	PWY-6643	
dimethylsulfoniopropanoate biosynthesis II (Spartina)	PWY-6055	
isoflavonoid biosynthesis II	PWY-2083	
malonate degradation I (biotin-independent)	PWY-5794	
<i>N</i>-acetyl-D-galactosamine degradation	PWY-7077	
dimethylsulfoniopropanoate biosynthesis I (Wollastonia)	PWY-6054	
piperine biosynthesis	PWY-5752	
fermentation to 2-methylbutanoate	PWY-5109	
coenzyme M biosynthesis I	P261-PWY	
glucose degradation (oxidative)	DHGLUCONATE-PYR-CAT-PWY	
camalexin biosynthesis	CAMALEXIN-SYN	
methylerythritol phosphate pathway I	NONMEVIPP-PWY	
L-glutamate degradation VI (to pyruvate)	PWY-5087	
mycinamicin biosynthesis	PWY-7412	
kainate biosynthesis	PWY-8080	
anaerobic energy metabolism (invertebrates, mitochondrial)	PWY-7384	pyruvate fermentation to acetate V
superpathway of hydrolyzable tannin biosynthesis	PWY-5478	"gallotannin biosynthesis"" // ""cornusiin E biosynthesis"" // ""pentagalloylglucose biosynthesis"
(+)-pisatin biosynthesis	PWY-2467	
malonate degradation II (biotin-dependent)	PWY-6060	
&beta;-alanine betaine biosynthesis	PWY-4021	
D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation	PWY-7395	
pentagalloylglucose biosynthesis	PWY-5475	
hinokiresinol biosynthesis	PWY-7632	
glycolate degradation II	PWY-804	
nicotine biosynthesis	PWY-5316	
cornusiin E biosynthesis	PWY-5476	
L-ornithine degradation I (L-proline biosynthesis)	ORN-AMINOPENTANOATE-CAT-PWY	
L-lyxose degradation	LYXMET-PWY	
dimethyl sulfide degradation I	PWY-6047	
methymycin, neomethymycin and novamethymycin biosynthesis	PWY-7422	
dimethyl sulfide degradation II (oxidation)	PWY-6059	
(-)-glycinol biosynthesis	PWY-2761	
mevalonate pathway I	PWY-922	
L-ornithine degradation II (Stickland reaction)	PWY-6344	
2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation	PWY0-1300	
dimethyl sulfide degradation III (oxidation)	PWY-6057	
L-glutamate degradation V (via hydroxyglutarate)	P162-PWY	
<i>N</i>-3-oxalyl-L-2,3-diaminopropanoate biosynthesis	PWY-8071	
L-citrulline degradation	CITRULLINE-DEG-PWY	
fructose degradation	PWY0-1314	
glucosinolate biosynthesis from tyrosine	PWY-7901	
oleandomycin biosynthesis	PWY-6971	
L-alanine fermentation to propanoate and acetate	PROPFERM-PWY	"pyruvate fermentation to acetate I"" // ""pyruvate fermentation to propanoate II (acrylate pathway)"" // ""L-alanine degradation II (to D-lactate)"
kievitone biosynthesis	PWY-4681	
mevalonate pathway III (archaea)	PWY-7524	
L-dopa degradation	PWY-6334	
superpathway of pentose and pentitol degradation	PWY-5257	"L-arabinose degradation IV"" // ""D-xylose degradation IV"" // ""D-xylose degradation III"" // ""D-arabinose degradation III"" // ""D-xylose degradation II"" // ""D-arabinose degradation I"" // ""L-arabinose degradation III"" // ""L-arabinose degradation II"" // ""L-arabinose degradation I"" // ""L-lyxose degradation"" // ""xylitol degradation"" // ""D-arabitol degradation"" // ""ribitol degradation"" // ""D-xylose degradation I"" // ""D-arabinose degradation II"
sporopollenin precursors biosynthesis	PWY-6733	
acetate and ATP formation from acetyl-CoA I	PWY0-1312	
suberin monomers biosynthesis	PWY-1121	
&beta;-alanine degradation II	PWY-1781	
VTC2 cycle	PWY4FS-12	
glucosinolate biosynthesis from trihomomethionine	PWYQT-4472	
erythromycin D biosynthesis	PWY-7106	
esterified suberin biosynthesis	PWY-7120	
acetylene degradation (anaerobic)	P161-PWY	
isoflavonoid biosynthesis I	PWY-2002	
mevalonate pathway II (archaea)	PWY-6174	
&beta;-alanine degradation I	BETA-ALA-DEGRADATION-I-PWY	
superpathway of glucose and xylose degradation	PWY-6901	"pentose phosphate pathway"" // ""D-xylose degradation I"
hexitol fermentation to lactate, formate, ethanol and acetate	P461-PWY	"D-sorbitol degradation II"" // ""pyruvate fermentation to (<i>S</i>)-lactate"" // ""pyruvate fermentation to ethanol I"" // ""pyruvate fermentation to acetate IV"" // ""mannitol degradation I"" // ""glycolysis II (from fructose 6-phosphate)"
2-deoxy-&alpha;-D-ribose 1-phosphate degradation	PWY-7180	
glucosinolate biosynthesis from hexahomomethionine	PWYQT-4475	
superpathway of megalomicin A biosynthesis	PWY-7110	"dTDP-D-desosamine biosynthesis"" // ""dTDP-L-mycarose biosynthesis"" // ""erythromycin D biosynthesis"" // ""dTDP-L-megosamine biosynthesis"" // ""megalomicin A biosynthesis"
acetate formation from acetyl-CoA (succinate)	PWY-5536	
(-)-maackiain biosynthesis	PWY-2464	
superpathway of L-homoserine and L-methionine biosynthesis	METSYN-PWY	"L-homoserine biosynthesis"" // ""L-methionine biosynthesis I"
glucose and glucose-1-phosphate degradation	GLUCOSE1PMETAB-PWY	
Bifidobacterium shunt	P124-PWY	
3,6-anhydro-&alpha;-L-galactopyranose degradation	PWY-7562	
thiamine triphosphate metabolism	PWY-7369	
glucosinolate biosynthesis from tryptophan	PWY-601	
narbomycin, pikromycin and novapikromycin biosynthesis	PWY-7421	
L-lysine fermentation to acetate and butanoate	P163-PWY	
wighteone and luteone biosynthesis	PWY-4502	
L-methionine biosynthesis II (plants)	PWY-702	
D-mannose degradation	MANNCAT-PWY	
acetate and ATP formation from acetyl-CoA II	PWY-5535	
chitobiose degradation	PWY0-1309	
thiamine formation from pyrithiamine and oxythiamine (yeast)	PWY-7357	
glucosinolate biosynthesis from dihomomethionine	PWYQT-4471	
rosamicin biosynthesis	PWY-7677	
formononetin biosynthesis	PWY-2321	
L-methionine biosynthesis III	HSERMETANA-PWY	L-homocysteine biosynthesis
mannitol degradation II	PWY-3861	
<i>S</i>-methyl-5'-thioadenosine degradation I	PWY-6754	
D-allose degradation	PWY0-44	
superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	THISYNARA-PWY	"thiazole biosynthesis III"" // ""thiamine diphosphate biosynthesis IV (eukaryotes)"" // ""4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis"
glucosinolate biosynthesis from pentahomomethionine	PWYQT-4474	
superpathway of erythromycin biosynthesis	PWY-6977	"superpathway of erythromycin biosynthesis (without sugar biosynthesis)"" // ""dTDP-L-mycarose biosynthesis"" // ""dTDP-D-desosamine biosynthesis"
(-)-medicarpin biosynthesis	PWY-2463	
superpathway of L-methionine biosynthesis (transsulfuration)	PWY-5347	"L-methionine biosynthesis I"" // ""L-homoserine biosynthesis"" // ""L-aspartate biosynthesis"
laminaribiose degradation	PWY-6778	
aflatoxins B<sub>1</sub> and G<sub>1</sub> biosynthesis	PWY-5959	
putrescine biosynthesis II	PWY-43	
<i>S</i>-methyl-5'-thioadenosine degradation III	PWY-6753	
ribose phosphorylation	RIBOKIN-PWY	
superpathway of thiamine diphosphate biosynthesis II	PWY-6895	"thiazole biosynthesis II (aerobic bacteria)"" // ""thiamine diphosphate biosynthesis II (Bacillus)"" // ""4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis"
patulin biosynthesis	PWY-7490	
glucosinolate biosynthesis from phenylalanine	PWY-2821	
megalomicin A biosynthesis	PWY-7109	
putrescine biosynthesis I	PWY-40	
glyceollin biosynthesis	PWY-2762	
L-methionine biosynthesis I	HOMOSER-METSYN-PWY	
L-glucose degradation	PWY-7130	
rhizobitoxine biosynthesis	PWY-7906	
3,4-dichlorotoluene degradation	PWY-6192	
superpathway of putrescine biosynthesis	PWY-6305	"putrescine biosynthesis III"" // ""putrescine biosynthesis I"
